Nom;Type;Plateforme;Tag;IsTermine
Uncharted 4 : A Thief's End;Jeu vidéo;PS4;;true
Final Fantasy XV;Jeu vidéo;PS4;;true
Uncharted : The Nathan's Drake Collection;Jeu vidéo;PS4;;true
Crash Bandicoot N-Sane Trilogy;Jeu vidéo;PS4;;true
Assassin's Creed IV Black Flag;Jeu vidéo;PS4;;true
Resident Evil 4;Jeu vidéo;PS4;;true
Uncharted : The Lost Legacy;Jeu vidéo;PS4;;true
Final Fantasy XII The Zodiac Age;Jeu vidéo;PS4;;
Deux Ex : Mankind Divided;Jeu vidéo;PS4;;
The Elder Scrolls V : Skyrim;Jeu vidéo;PS4;;
Saint Seiya : Soldier's Soul;Jeu vidéo;PS4;;
Metal Gear Solid : The Phantom Pain;Jeu vidéo;PS4;;
Rise of the Tomb Raider;Jeu vidéo;PS4;;
Rayman Legends;Jeu vidéo;PS4;;
Killzone Shadow Fall;Jeu vidéo;PS4;;
Dragon Age Inquisition;Jeu vidéo;PS4;;
The Last of Us Remastered;Jeu vidéo;PS4;;true
Batman Arkham Knight;Jeu vidéo;PS4;;true
NBA 2K14;Jeu vidéo;PS4;;true
La Terre du Milieu : L'Ombre du Mordor;Jeu vidéo;PS4;;true
Naruto Shippuden Ultimate Ninja Storm 4;Jeu vidéo;PS4;;true
Assassin's Creed Syndicate;Jeu vidéo;PS4;;true
Assassin's Creed Unity;Jeu vidéo;PS4;;true
Odin Sphere Leifthrasir;Jeu vidéo;PS4;;true
Final Fantasy Type-0 HD;Jeu vidéo;PS4;;true
Need for Speed Rivals;Jeu vidéo;PS4;;
Tomb Raider;Jeu vidéo;PS4;;true
Shadow of the Tomb Raider;Jeu vidéo;PS4;;
Horizon Zero Dawn;Jeu vidéo;PS4;;true
Star Wars Squadrons;Jeu vidéo;PS4;;true
Need for Speed Heat;Jeu vidéo;PS4;;
Tony Hawks Pro Skater 1+2;Jeu vidéo;PS4;;true
Shenmue 1 & 2;Jeu vidéo;PS4;;
Resident Evil 2;Jeu vidéo;PS4;;
Resident Evil 7 Biohazard;Jeu vidéo;PS4;;
Sonic Mania Plus;Jeu vidéo;PS4;;true
Star Wars Jedi : Fallen Order;Jeu vidéo;PS4;;true
The Last Guardian;Jeu vidéo;PS4;;
Minecraft;Jeu vidéo;PS4;;
Dragon Ball Z : Kakarot;Jeu vidéo;PS4;;
Kingdom Hearts HD 2.8 - Final Chapter Prologue;Jeu vidéo;PS4;;
Dissidia Final Fantasy NT;Jeu vidéo;PS4;;
Final Fantasy VIII Remastered;Jeu vidéo;PS4;;true
Dragons's Crown Pro;Jeu vidéo;PS4;;
Dark Souls Remastered;Jeu vidéo;PS4;;true
Dark Souls II Scholar of the First Sin;Jeu vidéo;PS4;;true
Dark Souls III Game of the Year Edition;Jeu vidéo;PS4;;true
Bloodborne Game of the Year Edition;Jeu vidéo;PS4;;true
Sekiro Shadows Die Twice;Jeu vidéo;PS4;;true
Castlevania Collection;Jeu vidéo;PS4;;
Castlevania Requiem;Jeu vidéo;PS4;;
Castlevania Advance Collection;Jeu vidéo;PS4;;
Nier Replicant;Jeu vidéo;PS4;;
Nier Automata Edition Game of the Yorha;Jeu vidéo;PS4;;true
Assassin's Creed Odyssey + Origins;Jeu vidéo;PS4;;
Pro Evolution Soccer 2019;Jeu vidéo;PS4;;
Dragon Ball FighterZ;Jeu vidéo;PS4;;
J-Stars Victory VS+;Jeu vidéo;PS4;;
NBA 2k Playgrounds 2;Jeu vidéo;PS4;;
Marvel Spider-man;Jeu vidéo;PS4;;true
Cuphead;Jeu vidéo;PS4;;true
Hollow Knight;Jeu vidéo;PS4;;true
Céleste;Jeu vidéo;PS4;;true
Tunic;Jeu vidéo;PS4;;true
Teenage Mutant Ninja Turtles : The Cowabunga Collection;Jeu vidéo;PS4;;
Vengeful Guardian : Moonrider;Jeu vidéo;PS4;;
God of War;Jeu vidéo;PS4;;true
Theathrythm Final Bar Line;Jeu vidéo;PS4;;true
Spyro Reignited Trilogy;Jeu vidéo;PS4;;
The Surge 2;Jeu vidéo;PS4;;true
Code Vein;Jeu vidéo;PS4;;true
J-Stars Victory VS+;Jeu vidéo;PS3;;
Naruto Ultimate Ninja Storm;Jeu vidéo;PS3;;true
Assassin's Creed Rogue;Jeu vidéo;PS3;;true
Final Fantasy XIII Lightning Returns;Jeu vidéo;PS3;;
Dante's Inferno;Jeu vidéo;PS3;;true
The Jak and Daxter Trilogy;Jeu vidéo;PS3;;
The Ratchet & Clank Trilogy;Jeu vidéo;PS3;;
Kingdom's Hearts - HD 2.5 Remix;Jeu vidéo;PS3;;
Final Fantasy X / X-2 HD Remaster;Jeu vidéo;PS3;;true
Tales of Xilia 2;Jeu vidéo;PS3;;
Mirrors Edge;Jeu vidéo;PS3;;true
Ico & Shadow of the Colossus Classics HD;Jeu vidéo;PS3;;true
White Knight Chronicles II;Jeu vidéo;PS3;;true
FIFA 14;Jeu vidéo;PS3;;true
Vanquish;Jeu vidéo;PS3;;true
Prince of Persia The Forgotten Sands;Jeu vidéo;PS3;;
Ni no Kuni : La vengeance de la Sorcière céleste;Jeu vidéo;PS3;;
Sonic Generations;Jeu vidéo;PS3;;true
Dishonored;Jeu vidéo;PS3;;true
Sleeping Dogs;Jeu vidéo;PS3;;true
Batman Arkham City;Jeu vidéo;PS3;;true
Prince of Persia Trilogy;Jeu vidéo;PS3;;
